Count,Name (First and Last),NetID,What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Gender,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
32,Ultrices u,32,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Music,Dance,East Asian Studies,MBA (Masters of Business Administration);MA (Master of Arts);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Boston MA;Philadelphia and mid/southern NJ,Food and beverage;Academia / Higher Ed,Skill development in a specific field;Academic success and study skills;Personal growth and self-improvement,Fashion;Gaming;Pets,4,5,10,2,7,2,1,5,0
33,Placerat? ,33,testemail@qemailserver.com,Pratt,Senior,Male,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;Other,None,Music,Dance;Finance;Physics,Human Rights;Latin American Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Non-Profit and Social Services;Fashion and Apparel,Networking and professional connections;Academic success and study skills,Cooking/Baking;Music/Dance,2,8,10,2,7,9,8,7,0
34,Facilisi; ,34,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Visual and Media Studies,Linguistics;Sociology,Architectural Engineering;Ethics and Society;Policy Journalism and Media Studies,JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MHA (Master of Healthcare Administration);MM (Master in Management),Pacific Northwest/Seattle;UK,STEM;Dentistry,Career exploration and decision-making;Academic success and study skills;Emotional support,Visual Arts/Crafts,5,5,1,7,2,0,10,6,0
35,Ut metus i,35,testemail@qemailserver.com,Trinity,Senior,Male,Black or African-American;White;Prefer not to answer,None,Religious Studies,Greek;Mathematics;Visual and Media Studies,Child Policy Research,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill,Non-Profit and Social Services;Transportation and logistics;Product / Product Management / UX Design,Personal growth and self-improvement;Work-life balance and time management,Outdoor Activities/Hiking/Camping;Traveling,10,8,6,4,1,2,9,9,0
36,Lacus ultr,36,testemail@qemailserver.com,Trinity,Sophomore,Female,Black or African-American;Native American or American Indian,None,Ancient Religion and Society;Visual Arts;Undecided,French Studies,None;Decision Sciences;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Washington DC;Baltimore MD,Real estate;Media Entertainment and Sports,Networking and professional connections;Academic success and study skills;Emotional support,Reading,8,6,6,10,9,1,5,4,0
37,Vel eget? ,37,testemail@qemailserver.com,Trinity,Senior,Male,Middle Eastern;Other,None,Biomedical Engineering;Economics,Asian and Middle Eastern Studies,East Asian Studies;Jewish Studies,None / Not listed;MBA (Masters of Business Administration);MS (Master of Science);MeD (Master of Education);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Chicago IL;Pacific Northwest/Seattle,Fashion and Apparel;Private Equity;Military,Networking and professional connections;Academic success and study skills,Movies/TV;Fishing/Hunting,4,6,3,4,5,3,3,3,0
38,Fusce dapi,38,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Black or African-American;Native American or American Indian;White;Other,None,Cultural Anthropology;Environmental Engineering;Psychology,Classical Civilization;English;Music,Decision Sciences;Jewish Studies;Latinx Studies in the Global South,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Pacific Northwest/Seattle,Non-Profit and Social Services;Hospitality and Tourism;Academia / Higher Ed,Skill development in a specific field;Academic success and study skills,Outdoor Activities/Hiking/Camping;Traveling;Watching Sports,7,7,0,8,1,2,1,2,0
39,Vehicula; ,39,testemail@qemailserver.com,Pratt,Junior,Male,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Prefer not to answer,None,Art History;Computer Science;Sociology,Medical Sociology;Statistical Science,Documentary Studies,None / Not listed;MFA (Master of Fine Arts);MS (Master of Science);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California;EU,Aerospace and Defense;Environmental Science,Skill development in a specific field,Fishing/Hunting,5,1,10,7,6,6,8,8,0
40,Ac ridicul,40,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Biomedical Engineering;Global Health,Machine Learning and Artificial Intelligence,Jewish Studies;Materials Science and Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC,Hospitality and Tourism;Telecommunications,Skill development in a specific field;Academic success and study skills,Outdoor Activities/Hiking/Camping;Athletics/Playing Sports;Movies/TV,3,6,8,5,6,7,6,2,0
41,Nunc tempo,41,testemail@qemailserver.com,Trinity,Junior,Male,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Classical Civilization,Visual Arts;Visual and Media Studies,Decision Sciences;Documentary Studies;Health Policy,MA (Master of Arts);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration);MEng (Master of Engineering),New York City/Tri-State area;Miami/Central Florida/Tampa Bay,Telecommunications,Work-life balance and time management,Outdoor Activities/Hiking/Camping;Traveling;Visual Arts/Crafts,2,9,8,3,4,2,1,7,0
42,Natoque so,42,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Black or African-American;Native American or American Indian;White;Other;Prefer not to answer,None,Ancient Religion and Society;Mathematics,Biology;Environmental Sciences and Policy;Gender Sexuality and Feminist Studies,Child Policy Research;Energy and the Environment,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Southern California,Law / Legal Services;Pharmaceutical;Physical Therapy,Academic success and study skills;Emotional support,Athletics/Playing Sports;Visual Arts/Crafts,3,10,9,4,6,2,9,1,0
43,Metus vene,43,testemail@qemailserver.com,Trinity,Sophomore,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Computational Media;French Studies;History,Machine Learning and Artificial Intelligence;Music;Philosophy,Decision Sciences,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),I don't know/Skip this question;New York City/Tri-State area;Richmond VA,Construction;Food and beverage,Personal growth and self-improvement,Fashion;Performing Arts,1,8,9,5,7,5,1,7,0
44,Rutrum in ,44,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander,None,Medieval and Renaissance Studies;Visual and Media Studies,Computational Media,Information Science and Information Studies;Jewish Studies;Robotics and Automation,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MeD (Master of Education);MEM (Master of Engineering Management);MPP (Masters of Public Policy),Philadelphia and mid/southern NJ;Pacific Northwest/Seattle;India,Marketing / Advertising;Physical Therapy,Career exploration and decision-making;Skill development in a specific field,Gardening;Music/Dance,8,5,1,1,1,8,7,5,0
45,Turpis nul,45,testemail@qemailserver.com,Pratt,Senior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Prefer not to answer,None,Music,Linguistics,Ethics and Society;Global Development Engineering;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Philadelphia and mid/southern NJ;Richmond VA,Journalism;Artificial Intelligence / Machine Learning / Data Science,Emotional support,Traveling;Movies/TV,6,9,9,0,9,2,8,3,0
46,Praesent m,46,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,African and African American Studies;English;Undecided,Marine Science and Conservation,Markets and Management,None / Not listed;MBA (Masters of Business Administration);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Biotechnology;Venture Capital,Skill development in a specific field;Personal growth and self-improvement,Athletics/Playing Sports;Visual Arts/Crafts;Movies/TV,5,7,7,2,4,8,3,4,0
47,Egestas ru,47,testemail@qemailserver.com,Pratt,Sophomore,Male,Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Classical Languages;Russian,Latin;Music,Child Policy Research;Human Rights,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MA (Master of Arts);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work),Chicago IL;Houston/Dallas/Austin,Journalism,Personal growth and self-improvement,Gaming,0,10,8,8,8,3,4,3,0
48,Vulputate.,48,testemail@qemailserver.com,Pratt,Sophomore,Female,Other,None,Economics;Medieval and Renaissance Studies,Sociology,Global Development Engineering;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN;Miami/Central Florida/Tampa Bay;EU,Telecommunications;Private Equity,Networking and professional connections;Personal growth and self-improvement;Work-life balance and time management,Fashion;Gaming;Fishing/Hunting,8,6,7,9,10,3,5,9,0
